Course Number	Title	Section	Days	Time	Location	Credit Hours
PSYC 245	Introduction to Psychological Science Methods	501	MWF	10:20-11:10 am	Psychology 338	3
PSYC 245	Introduction to Psychological Science Methods	500	MWF	12:40-1:30 pm	Psychology 108	3
